Model,Accuracy,Macro_F1,Weighted_F1,Legal_Recall
05b,0.4745,0.3577103250301318,0.367033190584597,0.019
1.5b,0.713,0.5462422731373342,0.7292611410618626,0.582
3b,0.884,0.880596554878203,0.8833965857610678,0.886
7b,0.9805,0.733456353829055,0.98048899477861,0.999
